name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key
Hawái,Maluma,4uoR6qeWeuL4Qeu2qJzkuG,0.787,0.728,-3.455,0,0.389,0.18899999999999997,2.29e-05,0.0629,0.545,180.06599999999997,200197,4,7,1.0,05.09.2020,94,29.07.2020,22,94,21494076,1,['1r4hJ1h58CWwUQe3MxPuau'],6
All In,YoungBoy Never Broke Again,7CdoE8U5DwrwCaLoyf3ME0,0.511,0.654,-6.132999999999999,1,0.314,0.053,0.0,0.316,0.27899999999999997,154.868,156662,4,9,1.0,05.09.2020,72,11.09.2020,102,88,5702887,1,['7wlFDEWiM5OoIAt8RSli8b'],8
you broke me first,Tate McRae,45bE4HXI0AwGZXfZtMp8JR,0.642,0.374,-9.386000000000001,1,0.0545,0.7859999999999999,0.0,0.0906,0.0799,124.09899999999999,169265,4,12,1.0,05.09.2020,94,17.04.2020,1,86,859212,1,['45dkTj5sMRSjrmBSBeiHym'],4
7 Summers,Morgan Wallen,0tbjiOUl4k492KPdWZS9sy,0.457,0.774,-5.2010000000000005,1,0.0336,0.428,4.29e-05,0.11900000000000001,0.59,203.863,210122,4,10,1.0,29.08.2020,81,14.08.2020,66,84,935459,1,['4oUHIQIBe0LHzYfvXNW4QM'],0
Midnight Sky,Miley Cyrus,27ycaQnQAxaPiyeg3nr2aB,0.705,0.8140000000000001,-5.466,0,0.0346,0.00115,0.00312,0.203,0.259,110.0,223279,4,12,1.0,29.08.2020,91,14.08.2020,237,89,12991664,1,['5YGY8feqx7naU7z4HrwZM6'],4
Kacey Talk,YoungBoy Never Broke Again,1SF8piqsZWn86DajVKih8F,0.877,0.607,-7.818,0,0.15,0.535,0.0,0.138,0.773,127.055,151248,4,8,1.0,29.08.2020,79,11.09.2020,101,88,5702887,1,['7wlFDEWiM5OoIAt8RSli8b'],10
Heather,Conan Gray,4xqrdfXkTW4T0RauPLv3WA,0.35700000000000004,0.425,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.07799999999999,198040,3,11,1.0,29.08.2020,93,20.03.2020,1,86,1962937,1,['4Uc8Dsxct0oMqx0P6i60ea'],5
Lonely If You Are,Chase Rice,5TI10v8sy9VPp5YhVRVK1f,0.6809999999999999,0.726,-5.1,1,0.0453,0.162,0.0,0.11900000000000001,0.8190000000000001,84.98,176728,4,6,1.0,29.08.2020,71,24.01.2020,55,70,830698,1,['6pBNfggcZZDCmb0p92OnGn'],7
Letter From Houston,Rod Wave,16UIEoHFNZB9hzTvDO7m8m,0.6809999999999999,0.5720000000000001,-10.440999999999999,0,0.0708,0.131,0.0,0.18100000000000002,0.758,156.066,173923,4,9,1.0,22.08.2020,71,07.08.2020,41,82,1291018,1,['45TgXXqMDdF8BkjA83OM7z'],11
Kings & Queens,Ava Max,1InCpEliLCkWHOBdXW7XSx,0.637,0.69,-4.0569999999999995,0,0.0405,0.007859999999999999,0.0,0.124,0.457,129.857,162398,4,6,1.0,22.08.2020,87,18.09.2020,36,88,2428407,1,['4npEfmQ6YuiwW1GpUmaq3F'],1
Freestyle,Rod Wave,0qI2Zclmx79YzOREH3UCtr,0.7440000000000001,0.648,-8.66,0,0.0623,0.0517,0.0,0.174,0.523,154.063,174768,5,8,1.0,22.08.2020,61,31.07.2020,41,82,1291018,1,['45TgXXqMDdF8BkjA83OM7z'],6
Some Girls,Jameson Rodgers,54eUv9Q3D9MZuOGS5PSflp,0.431,0.831,-5.1080000000000005,1,0.0474,0.0791,0.0,0.312,0.35200000000000004,167.96,184893,4,8,1.0,22.08.2020,76,19.01.2018,1,66,29040,1,['5pyVHz7lcfqKoV9BflFYwN'],8
