,acousticness,artist,chart_date,danceability,energy,instrumentalness,length,liveness,loudness,mode,name,popularity,release_date,song_id,speechiness,target,tempo,time_signature,valence,weeks,duration_ms,sections,artist_popularity,artist_followers,number_of_artists,list_of_artists
8,0.314,Taylor Swift,2020-08-08,0.515,0.476,4.74e-05,195097,0.171,-9.843,1,this is me trying,75,2020-07-24,7kt9e9LFSpN1zQtYEl19o1,0.0328,1.0,135.886,4,0.412,863,195097,12,95,33312478,1,['06HL4z0CvFAxyc27GXpf02']
9,0.6,Taylor Swift,2020-08-08,0.593,0.377,0.0,294521,0.0976,-8.761,1,betty,78,2020-07-24,5kI4eCXXzyuIUXjQra0Cxi,0.0253,1.0,95.939,4,0.502,863,294521,13,95,33312478,1,['06HL4z0CvFAxyc27GXpf02']
10,0.881,Taylor Swift,2020-08-08,0.559,0.31,0.0,190898,0.106,-10.445,1,illicit affairs,75,2020-07-24,2NmsngXHeC1GQ9wWrzhOMf,0.0338,1.0,119.845,4,0.46,863,190898,12,95,33312478,1,['06HL4z0CvFAxyc27GXpf02']
11,0.31,Maroon 5,2020-08-08,0.486,0.567,0.0,211253,0.0949,-6.456,1,Nobody's Love,82,2020-07-24,3kwgqoBqTwoAH4nT29TYrq,0.0379,1.0,93.68,4,0.154,468,211253,7,90,27576712,1,['04gDigrS5kc9YWfZHwBETP']
12,0.655,Taylor Swift,2020-08-08,0.592,0.699,1.68e-05,237258,0.114,-8.995,1,mad woman,74,2020-07-24,2QDyYdZyhlP2fp79KZX8Bi,0.0471,1.0,141.916,4,0.506,863,237258,9,95,33312478,1,['06HL4z0CvFAxyc27GXpf02']
13,0.0819,J. Cole,2020-08-08,0.732,0.663,0.0,210586,0.115,-7.616,0,Lion King On Ice,73,2020-07-22,1ZvBVbsaNqHEP6ymXaPGlj,0.192,1.0,139.964,4,0.227,177,210586,10,88,11926631,1,['6l3HvQ5sa6mXTsMTB19rO5']
14,0.731,Taylor Swift,2020-08-08,0.354,0.267,0.000402,289749,0.0858,-13.69,1,epiphany,73,2020-07-24,08fa9LFcFBTcilB3iq2e2A,0.0281,1.0,94.219,4,0.113,863,289749,11,95,33312478,1,['06HL4z0CvFAxyc27GXpf02']
15,0.918,Taylor Swift,2020-08-08,0.647,0.272,1.73e-05,234000,0.0918,-12.906,1,peace,73,2020-07-24,7MbT4I8qGntX4fMdqMQgke,0.0916,1.0,150.044,4,0.339,863,234000,9,95,33312478,1,['06HL4z0CvFAxyc27GXpf02']
16,0.966,Taylor Swift,2020-08-08,0.662,0.181,3.86e-06,220042,0.133,-15.065,1,hoax,73,2020-07-24,6MWoRt97mnSTXZhu3ggi9C,0.0415,1.0,118.819,4,0.429,863,220042,11,95,33312478,1,['06HL4z0CvFAxyc27GXpf02']
17,0.00948,Logic,2020-08-08,0.769,0.829,6.65e-05,100291,0.301,-5.228,1,Perfect,74,2020-07-24,5jbDih9bLGmI8ycUKkN5XA,0.0661,1.0,159.943,4,0.648,14,100291,6,85,4990132,1,['4xRYI6VqpkE3UwrDrAZL8L']
0,0.0398,J. Cole,2020-08-01,0.61,0.569,0.0,304640,0.337,-9.447,0,The Climb Back,75,2020-07-22,0FlfN5cbUUpIHCRH8X1M44,0.345,1.0,81.409,4,0.287,176,304640,9,88,11926631,1,['6l3HvQ5sa6mXTsMTB19rO5']
0,0.00336,Juice WRLD,2020-07-25,0.65,0.613,0.0,194621,0.267,-6.13,0,Wishing Well,90,2020-07-10,2U5WueTLIK5WJLD7mvDODv,0.128,1.0,149.972,4,0.0804,135,194621,9,99,13099020,1,['4MCBfE4596Uoi2O4DtmEMz']
1,0.176,Juice WRLD,2020-07-25,0.747,0.622,0.0,181661,0.151,-5.825,1,Conversations,84,2020-07-10,4K06PO78fW4mnBVenxGNob,0.0838,1.0,159.93,4,0.57,135,181661,9,99,13099020,1,['4MCBfE4596Uoi2O4DtmEMz']
2,0.183,Juice WRLD,2020-07-25,0.868,0.55,0.0,154767,0.109,-6.417,1,Blood On My Jeans,79,2020-07-10,0fCwrjKfWxF3xQhZrYUw4T,0.226,1.0,117.943,4,0.464,135,154767,8,99,13099020,1,['4MCBfE4596Uoi2O4DtmEMz']
3,0.168,Juice WRLD,2020-07-25,0.567,0.545,0.0,176649,0.112,-6.668,0,Titanic,78,2020-07-10,1YM6c2sxbf2Jacl9IFgn4I,0.0448,1.0,174.146,4,0.234,135,176649,8,99,13099020,1,['4MCBfE4596Uoi2O4DtmEMz']
4,0.17,Juice WRLD,2020-07-25,0.654,0.452,0.0,186749,0.114,-6.36,1,Bad Energy,79,2020-07-10,7d94IqWX2UmSKMGUYSGFJG,0.0439,1.0,138.034,4,0.532,135,186749,7,99,13099020,1,['4MCBfE4596Uoi2O4DtmEMz']
5,0.226,Kid Cudi,2020-07-25,0.88,0.787,0.0,264833,0.12,-5.189,1,The Adventures of Moon Man & Slim Shady (with Eminem),75,2020-07-10,38iBrrbbXyWaSPkmuDNgjZ,0.118,1.0,113.018,4,0.588,32,264833,11,94,43023490,2,"['0fA0VVWsXO9YnASrzqfmYu', '7dGJo4pcD2V6oG8kP0tJRR']"
6,0.439,Juice WRLD,2020-07-25,0.745,0.5,0.0,168684,0.0943,-6.184,1,Stay High,80,2020-07-10,21CkzgKCBCq5V4XKjiGSIj,0.135,1.0,76.968,4,0.433,135,168684,9,99,13099020,1,['4MCBfE4596Uoi2O4DtmEMz']
7,0.0813,Juice WRLD,2020-07-25,0.707,0.67,0.0,200628,0.098,-6.328,0,Fighting Demons,76,2020-07-10,0440JCJyIAmINA8KcYgFb5,0.257,1.0,163.099,4,0.235,135,200628,9,99,13099020,1,['4MCBfE4596Uoi2O4DtmEMz']
8,0.538,Juice WRLD,2020-07-25,0.661,0.665,0.0,147547,0.0981,-6.356,0,Up Up And Away,78,2020-07-10,7pbg3ABlAZv2NiIdKbBBFm,0.053,1.0,75.059,4,0.486,135,147547,6,99,13099020,1,['4MCBfE4596Uoi2O4DtmEMz']
9,0.082,Juice WRLD,2020-07-25,0.595,0.528,0.0,179464,0.142,-7.371,0,Screw Juice,76,2020-07-10,4F6YLjakjqWFTgC5qfEwPQ,0.0935,1.0,150.075,4,0.515,135,179464,9,99,13099020,1,['4MCBfE4596Uoi2O4DtmEMz']
10,0.133,Juice WRLD,2020-07-25,0.288,0.638,8.16e-05,173113,0.14,-6.935,0,I Want It,75,2020-07-10,2SVx3uds6jTWALFxevIWMA,0.0779,1.0,66.424,3,0.147,135,173113,5,99,13099020,1,['4MCBfE4596Uoi2O4DtmEMz']
11,0.00584,Juice WRLD,2020-07-25,0.621,0.695,0.0,136408,0.086,-5.124,1,Man Of The Year,79,2020-07-10,7AvprzMsRJpybaalckaT8c,0.0911,1.0,173.966,4,0.298,135,136408,6,99,13099020,1,['4MCBfE4596Uoi2O4DtmEMz']
12,0.0796,Summer Walker,2020-07-25,0.651,0.477,0.0,191586,0.1,-6.775,1,Let It Go,61,2020-07-10,6qwLieyhZ2vhn3xuIOrw32,0.0443,1.0,112.668,4,0.217,22,191586,7,83,1718413,1,['57LYzLEk2LcFghVwuWbcuS']
13,0.00576,Saweetie,2020-07-25,0.954,0.696,0.000498,139413,0.0754,-7.117,0,Tap In,83,2020-06-17,4Hpib09wXgD84w4uwTPnYD,0.204,1.0,100.036,4,0.432,21,139413,6,81,779286,1,['6cK3NBO6uP7hh0oyuVELFl']
0,0.00815,Pop Smoke,2020-07-18,0.688,0.647,1.65e-05,164579,0.095,-7.258,1,Got It On Me,86,2020-07-03,25zlnOAzbVoOzIeXSvQFf1,0.19,1.0,88.834,4,0.195,21,164579,4,96,2339609,1,['0eDvMgVFoNV3TpwtrVCoTj']
1,0.203,Pop Smoke,2020-07-18,0.548,0.506,0.0001,160000,0.0788,-7.434,0,Gangstas,75,2020-07-03,1hg3RlqFZXJb5YgRoK9qmF,0.102,1.0,119.987,5,0.557,21,160000,7,96,2339609,1,['0eDvMgVFoNV3TpwtrVCoTj']
2,0.0287,Pop Smoke,2020-07-18,0.8,0.564,1.65e-06,150857,0.112,-5.817,1,44 BullDog,72,2020-07-03,7sjFIZ1g5QLJLGja3k592K,0.4,1.0,139.989,4,0.318,21,150857,5,96,2339609,1,['0eDvMgVFoNV3TpwtrVCoTj']
