track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,artist_popularity,artist_followers
Infrared,Pusha T,spotify:track:6cpsixIHI63L0hwh3CwZg3,0.674,0.578,10,-8.768,0,0.298,0.0518,0.0055,0.72,0.163,112.265,170240,5,29.04994,5,1,74,1794181
Girl In A Country Song,Maddie & Tae,spotify:track:1GRiBe0kNCNYpjwCHIyynI,0.59,0.908,8,-3.789,1,0.084,0.285,0,0.36,0.874,160.028,217840,4,39.40916,10,1,69,624989
The Way (Your Soul Must Go),Living Death,spotify:track:6943Cu7qSzgeI6zaR2ZfYT,0.248,0.911,4,-10.493,0,0.0748,4.65e-06,0.859,0.135,0.16,170.169,276453,4,29.50836,16,0,22,9613
Can't Help Falling in Love,The Once,spotify:track:1zQtsarlHMwSh6CEA6Ocoh,0.277,0.441,0,-9.054,1,0.0364,0.285,5.35e-06,0.0763,0.135,96.848,183253,4,26.27623,7,0,32,8420
Doom,IXION,spotify:track:0NILb1JbeLiEIM1Vq7pklf,0.225,0.712,5,-5.141,1,0.0475,0.000954,0.526,0.1,0.0488,120.032,322402,4,24.53826,14,0,15,772
Jump Right In,Zac Brown Band,spotify:track:6yIMatK8OCXC3GuIlwHxuM,0.697,0.82,1,-5.108,1,0.0575,0.0888,0,0.143,0.655,104.022,180813,4,45.04236,7,1,77,2360746
Punk (La Vie Antérieure),Deerhunter,spotify:track:4QGfAJcONFa4IRxMZWSlPu,0.556,0.729,2,-8.553,1,0.0662,0.531,0.148,0.15,0.786,120.004,207137,4,65.59518,9,0,58,303831
Black Hole Metal,Black Crucifixion,spotify:track:6u0NhMJ5xWn4b6pWYadO2q,0.349,0.959,10,-3.854,1,0.057,2.4e-05,0.75,0.358,0.257,94.977,184547,4,65.36389,8,0,6,747
TATI,6ix9ine Featuring DJ SPINKING,spotify:track:6SOBCABlykuNrO04rmXpLs,0.779,0.767,11,-5.462,0,0.258,0.00214,0,0.102,0.523,91.981,154565,4,24.16304,8,1,84,5926885
Codeine Dreaming,Kodak Black Featuring Lil Wayne,spotify:track:4DTpngLjoHj5gFxEZFeD3J,0.736,0.604,1,-7.357,0,0.222,0.0652,6.43e-05,0.124,0.574,155.007,264532,4,25.5782,17,1,92,15981367
We Are The World 25: For Haiti,Artists For Haiti,spotify:track:07rhyW77lp2bGv8EQoZy6k,0.348,0.717,4,-5.634,1,0.0882,0.311,0,0.0786,0.28,66.21,416778,4,67.14784,13,1,38,2461
Father Christmas,Lord Kitchener,spotify:track:4BvFrZLXPeGMjF6YTQp66h,0.542,0.498,7,-12.2,1,0.0405,0.918,1.69e-06,0.217,0.817,94.899,222667,4,36.66673,13,0,35,7913
Turn Out The Stars,Bill Evans,spotify:track:2T68Ud1hAm15dqOhUyGVns,0.309,0.0432,0,-24.131,1,0.0542,0.995,0.951,0.0752,0.102,74.74,457093,4,32.04847,22,0,64,422909
Glory And Gore,Lorde,spotify:track:5ama5p0JgVg5scQk6ryDPy,0.689,0.377,1,-8.761,1,0.0397,0.285,0,0.268,0.294,143.946,210738,4,40.20837,9,1,81,6577551
"Trial by Fire - Live @ Paramount Theatre, Huntington, New York",Testament,spotify:track:5x9j22lLlJf2SePPs8qXbR,0.158,0.957,10,-8.401,0,0.113,9.36e-05,0.122,0.971,0.213,181.493,280733,4,25.22299,10,0,58,627300
No Such Thing As A Broken Heart,Old Dominion,spotify:track:0OlS52TmtK2gPaEtdmr7DN,0.65,0.782,8,-4.295,1,0.0721,0.295,0,0.107,0.944,171.988,176893,4,37.32713,9,1,73,871773
You & I,One Direction,spotify:track:2afCBiru10AFckfOa49wIa,0.574,0.329,1,-6.829,1,0.0274,0.22,0,0.0986,0.356,130.993,237933,4,37.90808,11,1,91,18259054
Red Room,Offset,spotify:track:4TWflhgevIGo448fWc6mQq,0.936,0.559,7,-8.587,0,0.157,0.479,0,0.128,0.527,112.347,241440,4,30.46901,13,1,84,1757006
Wicked Games,The Weeknd,spotify:track:6VwBbL8CzPiC4QV66ay7oR,0.658,0.591,9,-5.197,1,0.0309,0.00959,5.27e-06,0.325,0.326,114.078,323747,4,33.29438,12,1,96,25241546
New Freezer,Rich The Kid Featuring Kendrick Lamar,spotify:track:2EgB4n6XyBsuNUbuarr4eG,0.884,0.698,0,-9.101,1,0.364,0.0405,0,0.195,0.575,140.068,191938,4,24.50269,8,1,90,18047999
Metal Works - Original Mix,PØLI,spotify:track:6YjvYK5C9gEdutoisZc7Io,0.62,0.971,1,-4.819,1,0.0616,0.000644,0.78,0.177,0.483,134.988,355556,5,86.22886,13,0,32,3868
Gangnam Style,PSY,spotify:track:03UrZgTINDqvnUMbbIMhql,0.727,0.937,11,-2.871,0,0.287,0.00417,0,0.091,0.749,132.067,219493,4,39.55134,8,1,63,1118755
One Man Band,Old Dominion,spotify:track:08dFHFTx6r67MTsYn5ilDR,0.706,0.358,6,-8.331,1,0.0348,0.677,0,0.107,0.478,75.991,186240,4,34.99264,11,1,73,871773
All To Myself,Dan + Shay,spotify:track:08tq1XcHwVt5PHXUo87i0D,0.646,0.781,1,-4.616,1,0.0313,0.208,0,0.125,0.565,94.975,169920,4,30.49802,7,1,81,1924380
Rain Is A Good Thing,Luke Bryan,spotify:track:1YhFtqwcN138S6ng3MT1nN,0.622,0.932,11,-4.66,0,0.0498,0.105,2.37e-06,0.328,0.519,108.051,176160,4,19.24895,7,1,80,5790812
Meet Me Halfway,The Black Eyed Peas,spotify:track:0xfpx7AiwgSKEtjotea2L6,0.798,0.629,11,-6.857,0,0.0735,0.00474,2.17e-05,0.324,0.4,130.0,284373,4,30.48537,14,1,86,4860877
Meet Billy - Live,Genetic Control,spotify:track:5P8aqn5Nd9yksSTCrI7ext,0.28,0.9,3,-8.375,0,0.0554,0.000106,1.07e-06,0.474,0.49,95.092,259520,4,27.86171,12,0,2,198
Got to Find a Way,Harold Burrage,spotify:track:4vOxNIimvZZUFwQGkgeVGn,0.707,0.474,2,-10.037,1,0.0431,0.0429,0,0.0546,0.715,113.654,220893,4,27.32509,11,0,10,236
I,Lil Skies,spotify:track:4ZT9FnbFu1PaBfV3itxiqT,0.649,0.453,6,-7.28,1,0.085,0.627,0,0.116,0.431,99.183,181891,4,77.08385,5,1,82,4502573
Love Me Like Rock and Roll,Katie Noel,spotify:track:4zO7Nn26sIhg7pClNwQSwx,0.505,0.61,11,-7.019,1,0.0446,0.00663,1.99e-06,0.104,0.273,147.896,163749,4,19.49234,7,0,58,65476
I'm Into You,Jennifer Lopez Featuring Lil Wayne,spotify:track:1l9OdG3g9o3TYcU7xI8yWE,0.592,0.747,8,-4.439,0,0.135,0.0181,0,0.0752,0.704,83.929,200133,4,39.12679,9,1,92,18489078
Doom Funk,LX Sweat,spotify:track:7n6TCxbSMRBmnVXg5h9hWu,0.364,0.503,6,-18.607,1,0.346,0.406,0.9,0.122,0.422,95.718,208040,4,55.82411,8,0,19,1070
Rock Me Amadeus,Sun Diego,spotify:track:5SBFZEipvLrddLiaDrZp2c,0.594,0.637,9,-5.634,0,0.0826,0.0641,0,0.0856,0.268,88.817,189200,4,22.39088,9,0,55,159922
Roll In Peace,Kodak Black Featuring XXXTENTACION,spotify:track:40oKW22ZNNkEdZLJTScaQI,0.747,0.524,10,-6.807,0,0.245,0.0306,0,0.2,0.363,140.053,213132,4,27.89104,9,1,93,28982053
The Last Gasp of Street Rock n' Roll,Ramallah,spotify:track:5rK0LBBDPusLJHhS7Br4wP,0.36,0.907,2,-4.111,1,0.0949,0.000587,0,0.183,0.277,139.949,310988,4,133.65366,8,0,31,11537
Slave Of Pain,The Profane,spotify:track:6692xL1n9IUNejlj4ipjGk,0.56,0.927,7,-4.671,1,0.0466,0.00269,6.67e-05,0.0888,0.459,110.063,184581,4,35.67346,10,0,4,189
胜者为王,窒息,spotify:track:3SvDPc19Cm6O3EfHBJFylH,0.516,0.958,9,-3.439,0,0.128,0.00672,0.0342,0.0679,0.484,104.717,232520,4,41.39266,12,0,3,3107
Fuzzybrain,Dayglow,spotify:track:57HJa4ktE7iHGrbFhwzEr2,0.488,0.51,7,-8.367,1,0.026,0.0233,0.15,0.143,0.368,104.959,219429,4,25.76391,9,0,73,370820
"Work Hard, Play Hard",Wiz Khalifa,spotify:track:1ms5tNNdPouTtcD2oVF9Oz,0.787,0.666,11,-4.475,1,0.0485,0.0409,1.91e-05,0.296,0.485,140.008,219027,4,84.06304,6,1,88,9433240
Love The Way You Lie,Eminem Featuring Rihanna,spotify:track:15JINEqzVMv3SvJTAXAKED,0.749,0.925,10,-5.034,1,0.227,0.241,0,0.52,0.641,86.989,263373,4,100.10832,6,1,94,78371411
"Disciples of the Watch - Live @ Paramount Theatre, Huntington, New York",Testament,spotify:track:1oWkZA7LS9erH5JmlKaCp2,0.165,0.977,1,-8.826,1,0.133,5.52e-05,0.54,0.879,0.0522,96.78,449493,4,76.95248,17,0,58,627300
Strength of a Thousand Men,Thomas Bergersen,spotify:track:3GJZLvGXaVszYdSBLMtJFX,0.478,0.906,0,-6.781,0,0.0419,0.0962,0.919,0.115,0.59,140.021,136892,4,47.9351,6,0,70,728489
Topanga,Trippie Redd,spotify:track:5aXgz1oKK8Q9z9xvTmSnrO,0.755,0.615,4,-8.245,1,0.0454,0.00587,1.75e-06,0.109,0.039,105.955,215364,4,21.54834,12,1,90,5437446
Lois Lane,Joey Trap,spotify:track:5TGOcmBCSwc46D6MqONQT6,0.848,0.595,0,-6.538,1,0.251,0.0554,2.64e-06,0.11,0.473,140.002,236640,4,57.05352,13,0,62,497975
Punk Rock Princess,Something Corporate,spotify:track:5CLZ8XXWfNODzDZgMqtw6K,0.521,0.831,7,-6.046,1,0.0638,0.000389,0.00123,0.0992,0.261,130.032,233093,4,43.25034,9,0,50,130489
Somebody That I Used To Know,Mayday Parade,spotify:track:1wSTaIg1XHXAmyMhpZXnpW,0.457,0.938,3,-4.557,1,0.0836,0.00391,9.94e-06,0.145,0.467,136.072,205320,4,42.97476,7,0,68,1121616
A Guy With A Girl,Blake Shelton,spotify:track:5sjIhQzNljMVrDklI91ezp,0.552,0.893,0,-4.593,1,0.0383,0.0158,0,0.105,0.777,163.948,189467,4,35.70753,10,1,78,5358755
