name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key,artist_id,lead_artist_name
Shawty Is Da Shit,The-Dream,5RC9YDHON0nXKmcQrL6WV6,0.785,0.479,-4.956,0,0.044,0.083,0.0,0.0937,0.364,75.889,262773,4,13,0,,63,2007-01-01,0,74,2551760,2,"['1W3FSF1BLpY3hlVIgvenLz', '0YWxKQj2Go9CGHCp77UOyy']",7,1W3FSF1BLpY3hlVIgvenLz,The-Dream
Rockin' That Shit,The-Dream,3RBGG1be9aBaSvjnw6ABkh,0.672,0.62,-4.865,1,0.0422,0.123,0.0,0.362,0.627,78.005,221920,4,9,0,,61,2009-01-01,0,69,858223,1,['1W3FSF1BLpY3hlVIgvenLz'],8,1W3FSF1BLpY3hlVIgvenLz,The-Dream
Code Blue,Various Artists,17YVl4TzNHQlHIyokvt1TD,0.632,0.564,-7.042,1,0.0309,0.0539,2.43e-05,0.291,0.134,126.9,285066,4,12,0,,55,2017-02-10,0,69,858223,1,['1W3FSF1BLpY3hlVIgvenLz'],2,1W3FSF1BLpY3hlVIgvenLz,The-Dream
Wee Hours (feat. Jhené Aiko),The-Dream,6PQxYnPVtOMCIYuhqJdjtn,0.768,0.623,-2.88,1,0.0357,0.377,0.0,0.0609,0.428,105.025,190815,4,11,0,,47,2020-04-17,0,84,4707664,2,"['1W3FSF1BLpY3hlVIgvenLz', '5ZS223C6JyBfXasXxrRqOk']",9,1W3FSF1BLpY3hlVIgvenLz,The-Dream
F.I.L.A.,The-Dream,03MXO9B1815BBSebNVhLlG,0.623,0.612,-4.033,1,0.039,0.247,1.07e-06,0.776,0.666,72.498,251640,4,11,0,,44,2010-01-01,0,69,858223,1,['1W3FSF1BLpY3hlVIgvenLz'],0,1W3FSF1BLpY3hlVIgvenLz,The-Dream
Cedes Benz (Queen & Slim Version),The-Dream,2WJEPEgRGIpwRUpKbdbN1r,0.687,0.52,-7.748,0,0.0425,0.356,1.35e-06,0.113,0.0659,127.141,229284,4,7,0,,46,2019-12-24,0,69,858223,1,['1W3FSF1BLpY3hlVIgvenLz'],7,1W3FSF1BLpY3hlVIgvenLz,The-Dream
Make Up Bag,The-Dream,4M4OcjPEC1zaTFTR8Tr1nZ,0.767,0.582,-7.073,0,0.063,0.0364,0.0,0.24,0.563,90.042,283826,4,16,0,,39,2010-01-01,0,81,4367784,2,"['1W3FSF1BLpY3hlVIgvenLz', '4OBJLual30L7gRl5UkeRcT']",9,1W3FSF1BLpY3hlVIgvenLz,The-Dream
Get to Know Ya,Maxwell,1QGO7udymj4xp6w8jbpiF8,0.761,0.644,-6.498,1,0.0531,0.239,0.0989,0.052,0.917,101.015,262440,4,11,0,,49,2001-08-14,0,63,1106995,1,['2AOt5htsbtyaHd5Eq3kl3j'],7,2AOt5htsbtyaHd5Eq3kl3j,Maxwell
Lake By the Ocean,Maxwell,515Sz5OLZs4ySr234CP2js,0.601,0.66,-4.776,0,0.0897,0.462,0.0,0.351,0.36,76.029,238986,4,8,0,,45,2016-07-01,0,63,1106995,1,['2AOt5htsbtyaHd5Eq3kl3j'],4,2AOt5htsbtyaHd5Eq3kl3j,Maxwell
1990x,Maxwell,5rxPO6NL7tr0rG6JGrddKp,0.626,0.674,-7.455,0,0.0463,0.0553,0.00205,0.107,0.762,121.052,284693,4,13,0,,41,2016-07-01,0,63,1106995,1,['2AOt5htsbtyaHd5Eq3kl3j'],10,2AOt5htsbtyaHd5Eq3kl3j,Maxwell
Stop the World,Maxwell,1gWFuF1aCfnjonAdyDfV7Y,0.73,0.538,-8.478,1,0.07,0.27,1.08e-06,0.089,0.515,120.027,236066,4,10,0,,39,2009-07-07,0,63,1106995,1,['2AOt5htsbtyaHd5Eq3kl3j'],0,2AOt5htsbtyaHd5Eq3kl3j,Maxwell
Gods,Maxwell,0ybOhD30mCmnAB7ey3YUm4,0.704,0.509,-8.465,0,0.0518,0.416,3.15e-05,0.106,0.51,134.986,215906,4,10,0,,36,2016-07-01,0,63,1106995,1,['2AOt5htsbtyaHd5Eq3kl3j'],7,2AOt5htsbtyaHd5Eq3kl3j,Maxwell
All Night Longer,Sammy Adams,1vNn7rVQT6UtEW1NGH53fT,0.712,0.649,-4.753,1,0.063,0.000652,0.0,0.0683,0.616,127.028,177093,4,4,0,,67,2012-08-20,0,62,156537,1,['1S9WGrK7SZfXXQtHBYzDle'],1,1S9WGrK7SZfXXQtHBYzDle,Sammy Adams
