name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key,artist_id,lead_artist_name,release_year
Your eyes tell,BTS,3TZ7NHkMT82AhwuYsd00Hz,0.449,0.491,-6.433,0,0.028999999999999998,0.27899999999999997,0.0,0.0654,0.258,139.923,245146,4,8,0,,79,2020-07-14,34,98,25309783,1,['3Nrfpe0tUJi4K4DXYWgMUX'],9,3Nrfpe0tUJi4K4DXYWgMUX,BTS,2020
Stay Gold,BTS,3Ys2PYl1wyPKQIwyqhP9cQ,0.723,0.634,-5.415,1,0.0542,0.0892,0.0,0.0787,0.5820000000000001,129.017,243266,4,12,0,,81,2020-07-14,34,98,25309783,1,['3Nrfpe0tUJi4K4DXYWgMUX'],1,3Nrfpe0tUJi4K4DXYWgMUX,BTS,2020
Can't Die,Juice WRLD,4PPLJAEYBSOcnzr9TZoqf9,0.652,0.6709999999999999,-5.89,1,0.0756,0.0222,0.0,0.107,0.27399999999999997,84.008,182922,4,13,0,,77,2020-07-10,162,99,13502351,1,['4MCBfE4596Uoi2O4DtmEMz'],2,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,2020
Gabrielle,Brett Eldredge,73FNizJ3eMasXSufZqx97z,0.7070000000000001,0.722,-6.722,1,0.0284,0.0485,0.0,0.122,0.431,98.991,216720,4,9,0,,65,2020-07-10,107,72,1203521,1,['0qSX3s5pJnAlSsgsCne8Cz'],10,0qSX3s5pJnAlSsgsCne8Cz,Brett Eldredge,2020
Life's A Mess (feat. Halsey),Juice WRLD,5wWAwzGp2OaaoIkwcz6wZs,0.63,0.446,-8.9,1,0.0351,0.337,0.0,0.166,0.177,143.078,202193,4,11,0,,81,2020-07-10,162,99,26243051,2,"['4MCBfE4596Uoi2O4DtmEMz', '26VFTg2z8YR0cCuwLzESi2']",1,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,2020
Can We Fall In Love,Avant,2iRW7AhAcvMeBmilPbxGq4,0.747,0.54,-5.078,0,0.0355,0.0784,0.0,0.17600000000000002,0.6509999999999999,129.002,205546,4,12,0,,43,2020-07-10,101,60,937558,1,['0AunegKKH2ys98aLxq8G1A'],11,0AunegKKH2ys98aLxq8G1A,Avant,2020
Drunk & I Miss You,Jimmie Allen,7DoUCGBFzVTVfl4Nhl5BZE,0.583,0.6609999999999999,-4.362,0,0.027000000000000003,0.436,0.0,0.0923,0.541,112.829,167360,4,8,0,,66,2020-07-10,20,67,119313,2,"['147nKr9upHZSSxqCzh9j7c', '6nfN5B7Jmi853SHa9106Hz']",9,147nKr9upHZSSxqCzh9j7c,Jimmie Allen,2020
Juice WRLD Speaks From Heaven - Outro,Juice WRLD,1OjiYjgPZyxS0AiXiSnuYI,0.392,0.373,-14.097000000000001,1,0.0968,0.991,0.0978,0.545,0.519,121.678,30582,3,2,0,,66,2020-07-10,162,99,13502351,1,['4MCBfE4596Uoi2O4DtmEMz'],0,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,2020
Rewind,Krewella,0lzwqIfqmTXRl5mpM6zSiY,0.7040000000000001,0.882,-4.297,1,0.0522,0.0493,2.44e-05,0.0886,0.418,167.013,179014,4,7,0,,59,2020-07-10,20,70,1766066,2,"['0Cd6nHYwecCNM1sVEXKlYr', '47z7ZrgFoBvVpCnElCE3Zh']",1,0Cd6nHYwecCNM1sVEXKlYr,Krewella,2020
Anxiety - Intro,Juice WRLD,02XcRGWPkvomFvzTamEKHg,0.307,0.528,-11.337,0,0.10800000000000001,0.972,0.00056,0.222,0.58,174.795,70394,4,3,0,,68,2020-07-10,162,99,13502351,1,['4MCBfE4596Uoi2O4DtmEMz'],11,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,2020
"Quick, Fast, In A Hurry",Rascal Flatts,2XQ6HrCIJHd3ztzUzQ6RLf,0.5539999999999999,0.816,-5.313,1,0.0325,0.0812,0.0,0.1,0.47200000000000003,135.032,191240,4,10,0,,43,2020-07-10,595,75,2563392,2,"['0a1gHP0HAqALbEyxaD5Ngn', '5QpNKnsD0biAkM2sHA7OXR']",10,0a1gHP0HAqALbEyxaD5Ngn,Rascal Flatts,2020
SWAG,YG,2ap9kKsIEiWa4bzsjqACEx,0.861,0.58,-7.07,0,0.33799999999999997,0.0188,2.22e-06,0.0767,0.805,157.875,153478,4,4,0,,65,2020-07-10,104,84,2385009,1,['0A0FS04o6zMoto8OKPsDwY'],8,0A0FS04o6zMoto8OKPsDwY,YG,2020
Staccato,Tory Lanez,4HVHkQvGnpQ514WPHPE67Q,0.579,0.662,-5.744,0,0.182,0.00967,0.0,0.13,0.23399999999999999,105.208,156559,4,7,0,,66,2020-07-10,73,87,3331458,1,['2jku7tDXc6XoB6MO2hFuqg'],1,2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,2020
Smile,Katy Perry,3DXdjHnePKnh6oXw2ZgGSl,0.7829999999999999,0.912,-3.713,1,0.243,0.0238,0.0,0.33899999999999997,0.7490000000000001,98.025,166898,4,6,0,,73,2020-07-10,527,88,16660750,1,['6jJ0s89eD6GaHleKKya26X'],0,6jJ0s89eD6GaHleKKya26X,Katy Perry,2020
Love Somebody,Lauv,7LEMGMfmJDd1iLsGD9eV5l,0.465,0.46799999999999997,-7.7989999999999995,1,0.134,0.262,0.0,0.0639,0.373,83.366,142773,4,8,0,,78,2020-07-10,0,88,3629366,1,['5JZ7CnR6gTvEMKX4g70Amv'],7,5JZ7CnR6gTvEMKX4g70Amv,Lauv,2020
Sunday Drive,Brett Eldredge,2TIdEu4aruzo33MTEUDGcf,0.327,0.214,-10.382,1,0.0355,0.9279999999999999,0.0,0.10400000000000001,0.35100000000000003,73.863,293933,4,14,0,,58,2020-07-10,107,72,1203521,1,['0qSX3s5pJnAlSsgsCne8Cz'],3,0qSX3s5pJnAlSsgsCne8Cz,Brett Eldredge,2020
"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,1pqnQ41XbfKjaFu6M0eGJp,0.76,0.6579999999999999,-5.275,1,0.275,0.162,0.0,0.195,0.565,100.20200000000001,157944,4,8,0,,88,2020-07-09,0,98,24189896,2,"['0GM7qgcRCORpGnfcN2tCiB', '1vyhD5VmyZ7KMfW5gqLgo5']",7,0GM7qgcRCORpGnfcN2tCiB,Tainy,2020
Me About Me,RaeLynn,7F0fPQWt7E2jjreRSZOdna,0.465,0.61,-5.3020000000000005,1,0.0317,0.625,8.28e-05,0.128,0.235,83.664,166928,4,8,0,,69,2020-07-03,0,65,324119,1,['5dMnvpYEfXvSexjwnSRH5n'],1,5dMnvpYEfXvSexjwnSRH5n,RaeLynn,2020
Convertible Burt - From Road To Fast 9 Mixtape,Tory Lanez,2AUdkFhVlngknqGHu30VJQ,0.848,0.809,-3.958,0,0.21,0.0586,0.0,0.128,0.7559999999999999,133.037,175345,4,9,0,,62,2020-07-03,73,87,7064032,2,"['2jku7tDXc6XoB6MO2hFuqg', '1gPhS1zisyXr5dHTYZyiMe']",7,2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,2020
If That Ain't God,Chris Young,2wD4EACbGI6zfKXEAKJmBV,0.512,0.6859999999999999,-4.942,1,0.0319,0.226,0.0,0.0874,0.502,142.07,210710,4,10,0,,52,2020-07-03,218,72,2015700,1,['4BYxqVkZyFjtik7crYLg5Q'],4,4BYxqVkZyFjtik7crYLg5Q,Chris Young,2020
