name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key,artist_id,lead_artist_name
Mirror Mirror,M2M,2gX1J5hbHs1V7gkHsNglTv,0.696,0.685,-5.53,0,0.0246,0.218,0.0,0.0988,0.507,100.088,200426,4,8,1,2000-04-01,52,2000-02-15,0,59,264345,1,['0ZzYDST6Dib7iYd8hmcLcH'],1,0ZzYDST6Dib7iYd8hmcLcH,M2M
Swear It Again - Radio Edit,Westlife,2x1D20z93vGEjtTP07GOOr,0.626,0.532,-7.205,1,0.0276,0.29600000000000004,0.0,0.123,0.33,130.076,247933,4,10,1,2000-04-01,65,1999-04-25,0,75,1904331,1,['5Z1CCuBsyhEHngq3U5IraY'],9,5Z1CCuBsyhEHngq3U5IraY,Westlife
You Owe Me (feat. Ginuwine),Nas,2VqjCBJ4AxpDTrNRKhL0Pw,0.867,0.487,-14.044,1,0.266,0.16699999999999998,0.0,0.108,0.696,110.026,287906,4,14,1,2000-03-25,50,1999-11-23,18,78,3806364,2,"['20qISvAhX20dpIbOOzGK3q', '7r8RF1tN2A4CiGEplkp1oP']",1,20qISvAhX20dpIbOOzGK3q,Nas
I Wish,Carl Thomas,3lqT89gv8p3PYwXtr3ODjv,0.736,0.6659999999999999,-4.9289999999999985,1,0.0337,0.0593,3.82e-05,0.107,0.224,89.824,226760,4,9,1,2000-03-25,53,2000-04-18,0,54,427763,1,['6I6t21SFbxZ7RbQgD5dN7U'],1,6I6t21SFbxZ7RbQgD5dN7U,Carl Thomas
I Belong To You,Lenny Kravitz,21DyCPJqQ8tzFCHJYX9Koz,0.691,0.6859999999999999,-7.465,0,0.0493,0.000647,0.00456,0.106,0.6659999999999999,87.31200000000004,257066,4,8,1,2000-03-25,57,2000,44,74,2081519,1,['5gznATMVO85ZcLTkE9ULU7'],7,5gznATMVO85ZcLTkE9ULU7,Lenny Kravitz
Shackles (Praise You),Mary Mary,7JKEA8xYDoFp4q0QBW2PGg,0.779,0.8340000000000001,-2.773,1,0.162,0.0343,0.0,0.0886,0.8,100.46,198346,4,11,1,2000-03-25,62,2000,0,59,373214,1,['12Kgt2eahvxNWhD5PnSUde'],7,12Kgt2eahvxNWhD5PnSUde,Mary Mary
Unconditional,Clay Davidson,2vmL6YN8FcqbcHQcmv0BVh,0.562,0.451,-7.798999999999999,1,0.0266,0.419,0.0,0.104,0.277,132.94899999999998,240960,4,14,1,2000-03-25,23,2000-01-01,0,22,1458,1,['6F0ZVOJymgjutBNRws94qa'],7,6F0ZVOJymgjutBNRws94qa,Clay Davidson
If You Don't Wanna Love Me,Tamar Braxton,7KNu81Nxp1EZyvZvkGBH4d,0.762,0.486,-5.295,1,0.0284,0.0144,0.0,0.0462,0.3,120.102,238306,4,11,1,2000-03-25,30,2000-01-01,0,53,728214,1,['1MT1Wz4G9Z9EVOg4L5zZMS'],8,1MT1Wz4G9Z9EVOg4L5zZMS,Tamar Braxton
Karaoke - Goodbye Earl,The Karaoke Channel,4dTIRwcRJO1Fmvd177n176,0.7190000000000001,0.405,-10.845,1,0.0513,0.019,0.685,0.136,0.772,122.474,259134,4,11,1,2000-03-18,9,2005-03-01,0,8,208,1,['1eEkxzO2gBIviNSHo7HzMY'],0,1eEkxzO2gBIviNSHo7HzMY,The Karaoke Channel
Try Again,Aaliyah Tribute,52IKUZIr66lMvy7COxmG9x,0.635,0.841,-6.369,0,0.15,0.263,0.0,0.163,0.915,93.051,284240,4,11,1,2000-03-18,34,2007-01-16,0,27,1693,1,['44d6kiYityw5RMbE6lRv6i'],1,44d6kiYityw5RMbE6lRv6i,Aaliyah Tribute
