name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key,artist_id,lead_artist_name,release_year,chart_year
Love Theory,Kirk Franklin,08XnGAqrSwqr08vJ0t4py8,0.745,0.677,-5.355,1,0.215,0.18100000000000002,0.0,0.0895,0.72,97.09200000000001,251258,4,11,0,,57,2019-01-25,20,68,897510,1,['4akybxRTGHJZ1DXjLhJ1qu'],1,4akybxRTGHJZ1DXjLhJ1qu,Kirk Franklin,2019,
Ground Running,Will Young,2FWzDejXsMF3sYvwERZaSY,0.6920000000000001,0.591,-11.173,1,0.0734,0.0143,4.6500000000000005e-05,0.0868,0.642,95.053,201853,4,6,0,,43,2019-06-21,0,55,248870,1,['2U6gqwyl9F33YxawnFrZG7'],11,2U6gqwyl9F33YxawnFrZG7,Will Young,2019,
Season Of The Witch,Lana Del Rey,5DSi7heBC8eTIFROBvttnp,0.674,0.205,-14.173,1,0.0399,0.8959999999999999,0.0272,0.114,0.355,95.984,247147,4,11,0,,63,2019-08-09,53,87,11502930,1,['00FQb4jTyendYWaN8pK0wa'],2,00FQb4jTyendYWaN8pK0wa,Lana Del Rey,2019,
Nothing On You (feat. Paulo Londra & Dave),Ed Sheeran,2qRN7PWiHRLprw4FpDeI9N,0.747,0.649,-6.218,1,0.218,0.33299999999999996,0.0,0.172,0.84,88.01100000000001,200733,4,9,0,,67,2019-07-12,332,93,84873548,3,"['6eUKZXaKkcviH0Ku9w2n3V', '3vQ0GE3mI0dAaxIMYe5g7z', '6Ip8FS7vWT1uKkJSweANQK']",8,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,2019,
Fine Line,Harry Styles,6VzcQuzTNTMFnJ6rBSaLH9,0.306,0.34700000000000003,-8.5,1,0.0334,0.172,0.00013000000000000002,0.0485,0.0511,120.99600000000001,377960,4,20,0,,78,2019-12-13,23,92,10600465,1,['6KImCVD70vtIoJWnq6nGn3'],2,6KImCVD70vtIoJWnq6nGn3,Harry Styles,2019,
Demonz (feat. Brent Faiyaz) - Interlude,Juice WRLD,5ZOEulH7fvK4ZkMLTOyKL0,0.502,0.309,-11.389000000000001,1,0.0601,0.268,0.27899999999999997,0.127,0.18,169.52200000000002,95266,1,5,0,,67,2019-03-08,98,99,14557177,2,"['4MCBfE4596Uoi2O4DtmEMz', '3tlXnStJ1fFhdScmQeLpuG']",6,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,2019,
Never Comin Down - Recorded At Sound Stage Studios Nashville,Keith Urban,3tucKgFqK4GbUCmQtHxnhA,0.672,0.8759999999999999,-7.425,1,0.0313,0.0483,0.000297,0.20600000000000002,0.887,94.99799999999999,201332,4,12,0,,41,2019-01-09,638,78,3956353,1,['0u2FHSq3ln94y5Q57xazwf'],7,0u2FHSq3ln94y5Q57xazwf,Keith Urban,2019,
I Found You / Nilda’s Story (with Calvin Harris & Miguel),benny blanco,3eVuglKxN2sjoIGHAsFAge,0.337,0.24100000000000002,-9.849,1,0.0527,0.94,0.0112,0.131,0.18100000000000002,81.916,191465,5,9,0,,56,2019-01-04,24,88,24602857,3,"['5CiGnKThu5ctn9pBxv7DGa', '7CajNmpbOovFoOoasH2HaY', '360IAlyVv4PCEVjgyMZrxK']",6,5CiGnKThu5ctn9pBxv7DGa,benny blanco,2019,
Dangerous (feat. Kid Cudi),ScHoolboy Q,0IH3D0P8OrQFs6ajcqbm0R,0.414,0.544,-9.455,1,0.102,0.636,1.7100000000000002e-05,0.0813,0.0569,171.86700000000002,150613,4,8,0,,63,2019-04-26,65,84,7566276,2,"['5IcR3N7QB1j6KBL8eImZ8m', '0fA0VVWsXO9YnASrzqfmYu']",5,5IcR3N7QB1j6KBL8eImZ8m,ScHoolboy Q,2019,
Paradise,Khalid,6fOOKqQWcSy33ApU1wqkkW,0.581,0.452,-9.558,1,0.15,0.20600000000000002,0.00329,0.0881,0.523,75.046,173653,4,7,0,,63,2019-04-05,174,93,12904229,1,['6LuN9FCkKOj5PcnpouEgny'],11,6LuN9FCkKOj5PcnpouEgny,Khalid,2019,
Elevatorz (feat. PnB Rock),Yung Bleu,6GRAFYNs2Cprvj8V4RzCkr,0.496,0.512,-7.7589999999999995,0,0.20199999999999999,0.149,0.0,0.121,0.259,83.088,207600,4,10,0,,51,2019-09-20,0,80,3357885,2,"['3KNIG74xSTc3dj0TRy7pGX', '21WS9wngs9AqFckK7yYJPM']",8,3KNIG74xSTc3dj0TRy7pGX,Yung Bleu,2019,
Reasons,Luke Combs,0zK0C1rgdcZTVHtUCh2FPW,0.446,0.851,-4.74,1,0.0416,0.055999999999999994,1.91e-05,0.264,0.6659999999999999,84.928,224293,4,8,0,,65,2019-11-08,183,88,3811409,1,['718COspgdWOnwOFpJHRZHS'],6,718COspgdWOnwOFpJHRZHS,Luke Combs,2019,
My Next Broken Heart - with Jon Pardi,Brooks & Dunn,2MyznwTgremxRpMEiD5mcp,0.504,0.915,-3.3539999999999996,1,0.0408,0.00217,4.16e-05,0.0925,0.889,141.996,186706,4,10,0,,50,2019-04-05,0,76,2763573,2,"['0XKOBt59crntr7HQXXO8Yz', '4MoAOfV4ROWofLG3a3hhBN']",7,0XKOBt59crntr7HQXXO8Yz,Brooks & Dunn,2019,
Summer Reign (feat. Summer Walker),Rick Ross,14geRrYSRz73sBbtPD4iPQ,0.517,0.541,-6.843999999999999,1,0.235,0.0394,0.0,0.6779999999999999,0.12300000000000001,139.076,226480,4,9,0,,57,2019-08-15,154,83,6147062,2,"['1sBkRIssrMs1AbVkOJbc7a', '57LYzLEk2LcFghVwuWbcuS']",0,1sBkRIssrMs1AbVkOJbc7a,Rick Ross,2019,
feel something,Bea Miller,7JDWhC422Gtk1Bq0mL3OTC,0.74,0.415,-8.914,1,0.0707,0.242,0.000156,0.319,0.156,136.029,180161,4,9,0,,84,2019-06-21,0,81,2046133,1,['1o2NpYGqHiCq7FoiYdyd1x'],0,1o2NpYGqHiCq7FoiYdyd1x,Bea Miller,2019,
Sky Priority,Rod Wave,0F9at9W2UkP504cIxKE1K8,0.637,0.43700000000000006,-13.835999999999999,1,0.322,0.163,0.0,0.124,0.486,171.477,178677,3,10,0,,62,2019-11-01,3,82,1354214,1,['45TgXXqMDdF8BkjA83OM7z'],4,45TgXXqMDdF8BkjA83OM7z,Rod Wave,2019,
Rider,Juice WRLD,3usM520kfIRpWNaYOwdnYI,0.583,0.815,-4.257,1,0.0365,0.214,0.0,0.413,0.451,140.031,192093,4,11,0,,68,2019-03-08,98,99,13502351,1,['4MCBfE4596Uoi2O4DtmEMz'],7,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,2019,
To Be So Lonely,Harry Styles,5JiH89mHrv9oWHlD0T326z,0.758,0.436,-7.269,1,0.0418,0.618,1.6100000000000002e-05,0.335,0.605,104.959,192080,4,11,0,,77,2019-12-13,23,92,10600465,1,['6KImCVD70vtIoJWnq6nGn3'],0,6KImCVD70vtIoJWnq6nGn3,Harry Styles,2019,
Uptown (feat. Bun B & Lil Wayne),Drake,6xTROKXoqNjGhFNIjfoDO2,0.433,0.82,-3.136,1,0.32899999999999996,0.00371,0.0,0.0852,0.405,87.07600000000001,382266,5,15,0,,29,2019-02-14,970,99,61169787,3,"['3TVXtAsR1Inumwj472S9r4', '45a6gCQWq61lIUDmr1tKuO', '55Aa2cqylxrFIXC767Z865']",1,3TVXtAsR1Inumwj472S9r4,Drake,2019,
