name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key,artist_id,lead_artist_name
Tyler Herro,Jack Harlow,4DuUwzP4ALMqpquHU0ltAB,0.794,0.7559999999999999,-7.16,0,0.136,0.11,0.0,0.247,0.775,123.066,156497,4,8,1,2020-11-07,86,2020-10-22,39,85,483313,1,['2LIk90788K0zvyj2JJVwkJ'],5,2LIk90788K0zvyj2JJVwkJ,Jack Harlow
Spicy (feat. Post Malone),Ty Dolla $ign,5nWVyZaCwtfAkBnwDuXjBh,0.784,0.496,-5.746,1,0.0435,0.14,0.0,0.113,0.132,100.002,144027,4,9,1,2020-11-07,83,2020-10-21,68,95,32691578,2,"['7c0XG5cIJTrrAgEC3ULPiq', '246dkjvS1zLTtiykXe5h60']",7,7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign
The Other Guy,Luke Combs,0jcZ1uIHmvh6Is9T6hXOUk,0.5670000000000001,0.726,-4.705,1,0.0309,0.21600000000000005,0.0,0.12,0.319,141.92,190720,4,9,1,2020-11-07,72,2020-10-23,207,88,3741333,1,['718COspgdWOnwOFpJHRZHS'],6,718COspgdWOnwOFpJHRZHS,Luke Combs
Damage,H.E.R.,0KS2h61pHQ4WmOwruD7uxD,0.6459999999999999,0.696,-6.505,1,0.065,0.113,0.0,0.115,0.18,81.336,223414,4,8,1,2020-11-07,74,2020-10-21,21,83,3060000,1,['3Y7RZ31TRPVadSFVy1o8os'],1,3Y7RZ31TRPVadSFVy1o8os,H.E.R.
Back to the Streets (feat. Jhené Aiko),Saweetie,3MEruRteiUZXkStfTlZqRn,0.865,0.792,-4.207,1,0.0677,0.168,1.46e-05,0.107,0.562,101.985,189496,4,11,1,2020-11-07,76,2020-10-23,36,84,4596149,2,"['6cK3NBO6uP7hh0oyuVELFl', '5ZS223C6JyBfXasXxrRqOk']",4,6cK3NBO6uP7hh0oyuVELFl,Saweetie
SO DONE,The Kid LAROI,5psEZhQu6lukjhavJo4AbC,0.7190000000000001,0.598,-6.254,1,0.077,0.232,0.0,0.115,0.303,142.592,126521,4,6,1,2020-11-07,86,2020-10-23,1,89,677723,1,['2tIP7SsRs7vjIcLrU85W8J'],9,2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI
Cold As You,Luke Combs,7IWV29mryrqtO0JVgnPtfv,0.598,0.846,-4.956,1,0.0355,0.0527,0.0,0.113,0.328,144.04,186106,4,5,1,2020-11-07,71,2020-10-23,207,88,3741333,1,['718COspgdWOnwOFpJHRZHS'],6,718COspgdWOnwOFpJHRZHS,Luke Combs
PRACTICE,DaBaby,4Z5FyQlevoHoa5FsIVKZju,0.8490000000000001,0.536,-7.307,1,0.349,0.0239,0.0,0.126,0.308,141.964,122586,4,6,1,2020-11-07,82,2020-08-04,164,95,4798149,1,['4r63FhuTkUYltbVAg5TQnk'],1,4r63FhuTkUYltbVAg5TQnk,DaBaby
La Tóxica,Farruko,15OjBeqNX3bShsGYQbteRv,0.659,0.701,-4.107,1,0.16399999999999998,0.0882,0.0,0.0866,0.623,91.97,180520,4,9,1,2020-11-07,92,2020-07-24,7,94,8453562,1,['329e4yvIujISKGKz1BZZbO'],9,329e4yvIujISKGKz1BZZbO,Farruko
"Wine, Beer, Whiskey",Little Big Town,5avVDmK9FVJpd3MDO8I3Zl,0.727,0.914,-5.85,1,0.0743,0.617,0.0,0.596,0.784,106.021,196160,4,8,1,2020-11-07,69,2020-01-17,163,70,1933218,1,['3CygdxquGHurS7f9LjNLkv'],7,3CygdxquGHurS7f9LjNLkv,Little Big Town
Lonely (with benny blanco),Justin Bieber,4y4spB9m0Q6026KfkAvy9Q,0.631,0.239,-7.0710000000000015,0,0.0398,0.8640000000000001,0.0,0.116,0.0927,79.859,149297,4,7,1,2020-10-31,94,2020-10-16,424,96,39838662,2,"['1uNFoZAHBGtllmzznpCI3s', '5CiGnKThu5ctn9pBxv7DGa']",11,1uNFoZAHBGtllmzznpCI3s,Justin Bieber
You’re Mines Still (feat. Drake),Yung Bleu,7E2C5rBLpCKwQlhJPVFBRS,0.575,0.609,-4.88,0,0.121,0.317,0.0,0.105,0.339,83.00399999999998,226220,4,11,1,2020-10-31,78,2020-10-15,0,100,51165463,2,"['3KNIG74xSTc3dj0TRy7pGX', '3TVXtAsR1Inumwj472S9r4']",5,3KNIG74xSTc3dj0TRy7pGX,Yung Bleu
Hate The Way (feat. blackbear),G-Eazy,3QGppKBPd9gHOgHJzRbVIw,0.569,0.865,-3.844,0,0.266,0.0673,0.0,0.312,0.361,82.01100000000002,214363,4,9,1,2020-10-31,80,2020-10-16,108,89,8299326,2,"['02kJSzxNuaWGqwubyUba0Z', '2cFrymmkijnjDg9SS92EPM']",4,02kJSzxNuaWGqwubyUba0Z,G-Eazy
Canceled,Larray,3VxOgQ9o1aKonFx4d5lPR3,0.647,0.8029999999999999,-5.36,0,0.389,0.13699999999999998,4.06e-06,0.0952,0.55,82.10799999999998,173880,4,7,1,2020-10-31,72,2020-10-18,0,62,185134,1,['0rQjJGZLXBq95OA3nSmDj9'],11,0rQjJGZLXBq95OA3nSmDj9,Larray
Happy Does,Kenny Chesney,2v08cjj3Th8RpfJgluECcj,0.715,0.665,-5.4860000000000015,1,0.0381,0.301,0.0,0.123,0.593,109.019,168733,4,7,1,2020-10-31,69,2020-05-01,799,77,3194829,1,['3grHWM9bx2E9vwJCdlRv9O'],6,3grHWM9bx2E9vwJCdlRv9O,Kenny Chesney
Throat Baby (Go Baby),BRS Kash,31iqpzg1ZXLLgq0L5iIwLe,0.9,0.521,-7.286,0,0.147,0.0135,0.0,0.0951,0.213,132.007,218181,4,9,1,2020-10-31,76,2020-07-24,1,63,3931,1,['5jJjvmEwRr8epuGZq4eUUa'],4,5jJjvmEwRr8epuGZq4eUUa,BRS Kash
Pardon (feat. Lil Baby),T.I.,5W3z7a1dBlERTBAye0murh,0.955,0.5870000000000001,-5.894,0,0.32,0.181,0.0,0.585,0.901,111.975,259958,4,13,1,2020-10-31,71,2020-10-16,369,95,8858629,2,"['4OBJLual30L7gRl5UkeRcT', '5f7VJjfbwm532GiveGC0ZK']",10,4OBJLual30L7gRl5UkeRcT,T.I.
Champagne Night - From Songland,Lady A,48F2xnWq3LuzYWML327Z2r,0.523,0.927,-2.7960000000000003,1,0.0489,0.0272,5.98e-06,0.168,0.939,149.929,185069,4,7,1,2020-10-31,67,2020-06-12,1,75,3090515,1,['32WkQRZEVKSzVAAYqukAEA'],4,32WkQRZEVKSzVAAYqukAEA,Lady A
"Baby, I'm Jealous (feat. Doja Cat)",Bebe Rexha,2fTdRdN73RgIgcUZN33dvt,0.737,0.867,-2.259,0,0.0458,0.0398,0.0,0.32,0.506,98.05,175873,4,9,1,2020-10-24,83,2020-10-09,64,89,9836257,2,"['64M6ah0SkkRsnPGtGiRAbb', '5cj0lLjcoR7YOSnhnX0Po5']",11,64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha
hole in the bottle - ballerini album version,Kelsea Ballerini,1f6BZccfonUYohfGJIeBR1,0.672,0.552,-6.375,1,0.0316,0.504,0.0,0.0636,0.594,105.02,152440,4,10,1,2020-10-24,69,2020-09-11,115,75,815899,1,['3RqBeV12Tt7A8xH3zBDDUF'],4,3RqBeV12Tt7A8xH3zBDDUF,Kelsea Ballerini
Sofia,Clairo,7B3z0ySL9Rr0XvZEAjWZzM,0.7440000000000001,0.619,-9.805,1,0.039,0.598,0.00372,0.231,0.6409999999999999,112.997,188386,4,8,1,2020-10-24,89,2019-08-02,0,86,1769632,1,['3l0CmX0FuQjFxr8SK7Vqag'],0,3l0CmX0FuQjFxr8SK7Vqag,Clairo
Runnin,21 Savage,5SWnsxjhdcEDc7LJjq9UHk,0.8190000000000001,0.626,-4.574,0,0.202,0.00748,0.101,0.16699999999999998,0.415,143.01,195906,4,9,1,2020-10-17,86,2020-10-02,114,91,10793889,2,"['1URnnhqYAYcrqrcwql10ft', '0iEtIxbK0KxaSlF7G42ZOp']",10,1URnnhqYAYcrqrcwql10ft,21 Savage
Mr. Right Now (feat. Drake),21 Savage,4Q34FP1AT7GEl9oLgNtiWj,0.647,0.667,-5.563,1,0.304,0.231,0.0,0.133,0.7040000000000001,172.08,193838,4,10,1,2020-10-17,87,2020-10-02,114,100,61367269,3,"['1URnnhqYAYcrqrcwql10ft', '0iEtIxbK0KxaSlF7G42ZOp', '3TVXtAsR1Inumwj472S9r4']",5,1URnnhqYAYcrqrcwql10ft,21 Savage
Wonder,Shawn Mendes,5KCbr5ndeby4y4ggthdiAb,0.333,0.637,-4.904,0,0.0581,0.131,1.8e-05,0.149,0.132,139.898,172692,4,7,1,2020-10-17,92,2020-10-02,267,91,29729353,1,['7n2wHs1TKAczGzO7Dd2rGr'],1,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes
Glock In My Lap,21 Savage,6pcywuOeGGWeOQzdUyti6k,0.847,0.733,-6.439,0,0.16,0.00574,1.04e-05,0.151,0.202,130.029,193591,4,10,1,2020-10-17,82,2020-10-02,114,91,10793889,2,"['1URnnhqYAYcrqrcwql10ft', '0iEtIxbK0KxaSlF7G42ZOp']",10,1URnnhqYAYcrqrcwql10ft,21 Savage
Rich N*gga Sh*t (feat. Young Thug),21 Savage,1Wt5tponmRQp7JgasjIvSf,0.82,0.718,-5.4170000000000025,0,0.0962,0.438,0.0,0.11,0.599,97.994,190330,4,12,1,2020-10-17,56,2020-10-01,114,93,16438124,3,"['1URnnhqYAYcrqrcwql10ft', '0iEtIxbK0KxaSlF7G42ZOp', '50co4Is1HCEo8bhOyUWKpn']",1,1URnnhqYAYcrqrcwql10ft,21 Savage
Don’t Stop (feat. Young Thug),Megan Thee Stallion,3yv7994DWTEk3ihwy75YBQ,0.933,0.757,-3.212,1,0.117,0.00184,0.0,0.135,0.544,137.993,187940,4,8,1,2020-10-17,79,2020-10-02,104,93,8024272,2,"['181bsRPaVXVlUKXrxwZfHK', '50co4Is1HCEo8bhOyUWKpn']",2,181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion
Slidin,21 Savage,7fxSLnklnayJNBIKntXedZ,0.774,0.706,-6.494,1,0.355,0.0016300000000000002,1.28e-06,0.104,0.382,152.891,185036,4,6,1,2020-10-17,78,2020-10-02,114,91,10793889,2,"['1URnnhqYAYcrqrcwql10ft', '0iEtIxbK0KxaSlF7G42ZOp']",2,1URnnhqYAYcrqrcwql10ft,21 Savage
Many Men,21 Savage,3CDVMejYHnB1SkEEx0T1N4,0.635,0.7929999999999999,-4.333,0,0.0322,0.000647,0.747,0.113,0.281,77.594,201856,4,9,1,2020-10-17,79,2020-10-02,114,91,10793889,2,"['1URnnhqYAYcrqrcwql10ft', '0iEtIxbK0KxaSlF7G42ZOp']",10,1URnnhqYAYcrqrcwql10ft,21 Savage
Fallin’ (Adrenaline),Why Don't We,5GhJIMWAw0uMLgkdbt6uMz,0.606,0.9,-4.504,1,0.119,0.0101,0.0,0.075,0.233,133.963,216504,4,8,1,2020-10-17,81,2020-09-29,0,80,2392961,1,['2jnIB6XdLvnJUeNTy5A0J2'],0,2jnIB6XdLvnJUeNTy5A0J2,Why Don't We
Outta Time (feat. Drake),Bryson Tiller,4SCnCPOUOUXUmCX2uHb3r7,0.7140000000000001,0.5820000000000001,-7.272,0,0.0808,0.0129,0.0,0.0774,0.338,92.819,198821,4,9,1,2020-10-17,76,2020-10-02,50,100,55018651,2,"['2EMAnMvWE2eb56ToJVfCWs', '3TVXtAsR1Inumwj472S9r4']",5,2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller
My Dawg,21 Savage,42Tohunwlh34o0mgxYx5iq,0.831,0.532,-5.319,0,0.301,0.0652,0.0,0.464,0.364,140.105,181715,4,7,1,2020-10-17,76,2020-10-02,114,91,10793889,2,"['1URnnhqYAYcrqrcwql10ft', '0iEtIxbK0KxaSlF7G42ZOp']",0,1URnnhqYAYcrqrcwql10ft,21 Savage
Brand New Draco,21 Savage,4V9ynsDPwHtdItksqjuRu0,0.6970000000000001,0.7090000000000001,-6.642,0,0.298,0.041,0.000296,0.0886,0.439,155.023,202420,4,9,1,2020-10-17,75,2020-10-02,114,91,10793889,2,"['1URnnhqYAYcrqrcwql10ft', '0iEtIxbK0KxaSlF7G42ZOp']",11,1URnnhqYAYcrqrcwql10ft,21 Savage
